,problem_id,dp,constraints,machine_techniques,human_techniques,machine_solutions,correctness,follow_constraints,new_techniques,new_techniques_ratio,convergent_score,divergent_score,neogauge_score
10,1898A,1,['hashmap'],"['if statement', 'for loop', 'tuple', 'misc']","['n', ' ', '=', 'i', 't', '(', 'p', 'u', ')', '\r', '\n', 'f', 'o', 'r', 'a', 'g', 'e', ':', ',', 'b', 'm', '.', 's', 'l', 'c', 'A', '[', ']', 'B', '""', 'd', '0', '<', '1', '-', '+', '#', '/', 'h', '>', ';', '{', '\t', 'w', 'k', ""'"", '}', '?', '2', '_', '!', 'v', 'N', '%', '&', '\\', 'C', 'j', 'T', 'x', 'y', 'z', 'q']","import sys

def solve():
    n, k = map(int, input().split())
    s = input()
    b_count = s.count('B')
    if b_count == k:
        print(0)
        return
    if b_count > k:
        print(n - k)
        for i in range(n - k):
            print(i + 1, 'A')
        return
    print(n - b_count + 1)
    print(1, 'B')
    for i in range(n - b_count):
        print(i + 2, 'A')
",False,True,4,1.0,0.0,1.0,0.0
11,1898A,2,"['hashmap', 'continue statement']",['for loop'],"['n', ' ', '=', 'i', 't', '(', 'p', 'u', ')', '\r', '\n', 'f', 'o', 'r', 'a', 'g', 'e', ':', ',', 'b', 'm', '.', 's', 'l', 'c', 'A', '[', ']', 'B', '""', 'd', '0', '<', '1', '-', '+', '#', '/', 'h', '>', ';', '{', '\t', 'w', 'k', ""'"", '}', '?', '2', '_', '!', 'v', 'N', '%', '&', '\\', 'C', 'j', 'T', 'x', 'y', 'z', 'q']","import sys

def solve():
    n, k = map(int, input().split())
    s = input()
    b_count = s.count('B')
    if b_count == k:
        print(0)
        return
    if b_count > k:
        print(n - k)
        for i in range(n - k):
            print(i + 1, 'A')
        return
    print(n - b_count + 1)
    for i in range(n - b_count + 1):
        print(i + 1, 'B')
    for i in range(n - b_count + 1, n):
        print(i + 1, 'A')
",False,True,1,1.0,0.0,1.0,0.0
12,1898A,3,"['hashmap', 'continue statement', 'for loop']","['if statement', 'for loop', 'tuple']","['n', ' ', '=', 'i', 't', '(', 'p', 'u', ')', '\r', '\n', 'f', 'o', 'r', 'a', 'g', 'e', ':', ',', 'b', 'm', '.', 's', 'l', 'c', 'A', '[', ']', 'B', '""', 'd', '0', '<', '1', '-', '+', '#', '/', 'h', '>', ';', '{', '\t', 'w', 'k', ""'"", '}', '?', '2', '_', '!', 'v', 'N', '%', '&', '\\', 'C', 'j', 'T', 'x', 'y', 'z', 'q']","import sys

def solve():
    n, k = map(int, input().split())
    s = input()
    b_count = s.count('B')
    if b_count == k:
        print(0)
        return
    if b_count > k:
        print(n - k)
        for i in range(n - k):
            print(i + 1, 'A')
        return
    print(n - b_count + 1)
    for i in range(n - b_count + 1):
        print(i + 1, 'B')
    for i in range(n - b_count + 1, n):
        print(i + 1, 'A')
",False,False,3,1.0,0.0,1.0,0.0
13,1898A,4,"['hashmap', 'continue statement', 'for loop', 'if statement']","['if statement', 'for loop', 'tuple']","['n', ' ', '=', 'i', 't', '(', 'p', 'u', ')', '\r', '\n', 'f', 'o', 'r', 'a', 'g', 'e', ':', ',', 'b', 'm', '.', 's', 'l', 'c', 'A', '[', ']', 'B', '""', 'd', '0', '<', '1', '-', '+', '#', '/', 'h', '>', ';', '{', '\t', 'w', 'k', ""'"", '}', '?', '2', '_', '!', 'v', 'N', '%', '&', '\\', 'C', 'j', 'T', 'x', 'y', 'z', 'q']","import sys

def solve():
    n, k = map(int, input().split())
    s = input()
    b_count = s.count('B')
    if b_count == k:
        print(0)
        return
    elif b_count > k:
        print(n - k)
        for i in range(n - k):
            print(i + 1, 'A')
        return
    else:
        b_indices = [i for i, c in enumerate(s) if c == 'B']
        if b_count + len(b_indices) >= k:
            print(n - b_count)
            for i in range(n - b_count):
                print(i + 1, 'A')
            return
        else:
            print(n - b_count + 1)
            print(b_indices[0] + 1, 'B')
            for i in range(n - b_count):
                print(i + 1, 'A')
",False,False,3,1.0,0.0,1.0,0.0
14,1898A,5,"['hashmap', 'continue statement', 'for loop', 'if statement', 'misc']","['if statement', 'for loop', 'tuple', 'misc']","['n', ' ', '=', 'i', 't', '(', 'p', 'u', ')', '\r', '\n', 'f', 'o', 'r', 'a', 'g', 'e', ':', ',', 'b', 'm', '.', 's', 'l', 'c', 'A', '[', ']', 'B', '""', 'd', '0', '<', '1', '-', '+', '#', '/', 'h', '>', ';', '{', '\t', 'w', 'k', ""'"", '}', '?', '2', '_', '!', 'v', 'N', '%', '&', '\\', 'C', 'j', 'T', 'x', 'y', 'z', 'q']","import sys

def solve():
    n, k = map(int, input().split())
    s = input()
    b_count = s.count('B')
    if b_count == k:
        print(0)
        return
    if b_count > k:
        print(n - k)
        for i in range(n - k):
            print(i + 1, 'A')
        return
    print(n - b_count + 1)
    print(n - b_count + 1, 'B')
    for i in range(n - b_count, n):
        print(i + 1, 'A')
",False,False,4,1.0,0.0,1.0,0.0
15,1895B,0,['this is the og problem'],"['for loop', 'sorting', 'tuple', 'matrix operation']","['t', ' ', '=', 'i', 'n', '(', 'p', 'u', ')', '\r', '\n', 'w', 'h', 'l', 'e', ':', 's', 'm', 'a', ',', '.', 'o', 'r', '[', '-', '1', ']', '0', '+', '2', '*', 'f', 'g', 'j', 'x', 'd', 'b', '""', '{', '}', 'z', '_', 'v', 'T', 'c', '#', '<', '/', '>', ';', '%', '&', '\\', 'k', 'y', 'N', 'A', '\t', ""'"", 'L', 'U', 'O', 'G', 'R', 'I', 'D', '3', '6', '8', '7', '5']","import sys

def solve():
    n = int(input())
    a = list(map(int, input().split()))
    a.sort()
    x = a[:n]
    y = a[n:]
    print(sum(abs(x[i] - x[i-1]) + abs(y[i] - y[i-1]) for i in range(1, n)))
    for i in range(n):
        print(x[i], y[i])
",False,True,4,1.0,0.0,1.0,0.0
16,1895B,1,['for loop'],['for loop'],"['t', ' ', '=', 'i', 'n', '(', 'p', 'u', ')', '\r', '\n', 'w', 'h', 'l', 'e', ':', 's', 'm', 'a', ',', '.', 'o', 'r', '[', '-', '1', ']', '0', '+', '2', '*', 'f', 'g', 'j', 'x', 'd', 'b', '""', '{', '}', 'z', '_', 'v', 'T', 'c', '#', '<', '/', '>', ';', '%', '&', '\\', 'k', 'y', 'N', 'A', '\t', ""'"", 'L', 'U', 'O', 'G', 'R', 'I', 'D', '3', '6', '8', '7', '5']","import sys
import heapq

def solve():
    n = int(input())
    a = list(map(int, input().split()))
    a.sort()
    x = a[:n]
    y = a[n:]
    ans = 0
    for i in range(n-1):
        ans += abs(x[i] - x[i+1]) + abs(y[i] - y[i+1])
    print(ans)
    for i in range(n):
        print(x[i], y[i])
    print(x[-1], y[-1])
",False,False,1,1.0,0.0,1.0,0.0
17,1895B,2,"['for loop', 'if statement']","['for loop', 'sorting', 'tuple']","['t', ' ', '=', 'i', 'n', '(', 'p', 'u', ')', '\r', '\n', 'w', 'h', 'l', 'e', ':', 's', 'm', 'a', ',', '.', 'o', 'r', '[', '-', '1', ']', '0', '+', '2', '*', 'f', 'g', 'j', 'x', 'd', 'b', '""', '{', '}', 'z', '_', 'v', 'T', 'c', '#', '<', '/', '>', ';', '%', '&', '\\', 'k', 'y', 'N', 'A', '\t', ""'"", 'L', 'U', 'O', 'G', 'R', 'I', 'D', '3', '6', '8', '7', '5']","import sys
import heapq

def solve():
    n = int(input())
    a = list(map(int, input().split()))
    a.sort()
    x = a[:n]
    y = a[n:]
    ans = 0
    for i in range(n):
        ans += abs(x[i] - x[(i+1)%n]) + abs(y[i] - y[(i+1)%n])
    print(ans)
    for i in range(n):
        print(x[i], y[i])
",False,False,3,1.0,0.0,1.0,0.0
18,1895B,3,"['for loop', 'if statement', 'while loop']","['sorting', 'for loop', 'if statement', 'tuple']","['t', ' ', '=', 'i', 'n', '(', 'p', 'u', ')', '\r', '\n', 'w', 'h', 'l', 'e', ':', 's', 'm', 'a', ',', '.', 'o', 'r', '[', '-', '1', ']', '0', '+', '2', '*', 'f', 'g', 'j', 'x', 'd', 'b', '""', '{', '}', 'z', '_', 'v', 'T', 'c', '#', '<', '/', '>', ';', '%', '&', '\\', 'k', 'y', 'N', 'A', '\t', ""'"", 'L', 'U', 'O', 'G', 'R', 'I', 'D', '3', '6', '8', '7', '5']","import sys
import itertools

def solve():
    n = int(input())
    a = list(map(int, input().split()))
    a.sort()
    points = list(itertools.combinations(a, n))
    min_distance = float('inf')
    result = None
    for p in points:
        distance = 0
        for i in range(n - 1):
            distance += abs(p[i] - p[i + 1])
        distance *= 2
        distance += abs(p[0] - p[-1])
        if distance < min_distance:
            min_distance = distance
            result = p
    print(min_distance)
    for i in range(n):
        print(result[i], result[(i + 1) % n])
",False,False,4,1.0,0.0,1.0,0.0
19,1895B,4,"['for loop', 'if statement', 'while loop', 'sorting']","['if statement', 'for loop', 'sorting']","['t', ' ', '=', 'i', 'n', '(', 'p', 'u', ')', '\r', '\n', 'w', 'h', 'l', 'e', ':', 's', 'm', 'a', ',', '.', 'o', 'r', '[', '-', '1', ']', '0', '+', '2', '*', 'f', 'g', 'j', 'x', 'd', 'b', '""', '{', '}', 'z', '_', 'v', 'T', 'c', '#', '<', '/', '>', ';', '%', '&', '\\', 'k', 'y', 'N', 'A', '\t', ""'"", 'L', 'U', 'O', 'G', 'R', 'I', 'D', '3', '6', '8', '7', '5']","import sys
import random

def solve():
    n = int(input())
    a = list(map(int, input().split()))
    x = [a[i] for i in range(0, 2 * n, 2)]
    y = [a[i] for i in range(1, 2 * n, 2)]
    x.sort()
    y.sort()
    ans = 0
    for i in range(n):
        ans += abs(x[i] - x[i + n]) + abs(y[i] - y[i + n])
    print(ans)
    for i in range(n):
        print(x[i], y[i])
        if i < n - 1:
            print(x[i + n], y[i + n])
",False,False,3,1.0,0.0,1.0,0.0
20,1895B,5,"['for loop', 'if statement', 'while loop', 'sorting', 'tuple']",['for loop'],"['t', ' ', '=', 'i', 'n', '(', 'p', 'u', ')', '\r', '\n', 'w', 'h', 'l', 'e', ':', 's', 'm', 'a', ',', '.', 'o', 'r', '[', '-', '1', ']', '0', '+', '2', '*', 'f', 'g', 'j', 'x', 'd', 'b', '""', '{', '}', 'z', '_', 'v', 'T', 'c', '#', '<', '/', '>', ';', '%', '&', '\\', 'k', 'y', 'N', 'A', '\t', ""'"", 'L', 'U', 'O', 'G', 'R', 'I', 'D', '3', '6', '8', '7', '5']","import sys
import math

def solve():
    n = int(input())
    a = list(map(int, input().split()))
    x = [a[i] for i in range(0, 2 * n, 2)]
    y = [a[i] for i in range(1, 2 * n, 2)]
    x.sort()
    y.sort()
    ans = 0
    for i in range(n):
        ans += abs(x[i] - x[i + n]) + abs(y[i] - y[i + n])
    print(ans)
    for i in range(n):
        print(x[i], y[i])
        if i!= n - 1:
            print(x[i + n], y[i + n])
",False,False,1,1.0,0.0,1.0,0.0
21,1895A,0,['this is the og problem'],['if statement'],"['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 'x', ',', 'y', 'k', '=', 'm', '.', 's', 'l', '<', '+', '0', '-', '>', '2', '*', '[', ']', '1', 'b', 'c', ';', 'z', 'd', '#', '{', 'T', 'w', 'h', '}', '\t', '/']","import sys

def solve():
    x, y, k = map(int, input().split())
    if x > y:
        return x
    if x == y:
        return 0
    if k >= y - x:
        return y
    return y + max(0, y - x - k)
",False,True,1,1.0,0.0,1.0,0.0
22,1895A,1,['if statement'],['if statement'],"['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 'x', ',', 'y', 'k', '=', 'm', '.', 's', 'l', '<', '+', '0', '-', '>', '2', '*', '[', ']', '1', 'b', 'c', ';', 'z', 'd', '#', '{', 'T', 'w', 'h', '}', '\t', '/']","import sys

def solve():
    x, y, k = map(int, input().split())
    if x > y:
        return x
    elif x == y:
        return 0
    else:
        return max(y - x - k, 2 * (y - x) - k)
",False,False,1,1.0,0.0,1.0,0.0
23,1895A,2,"['if statement', 'for loop']","['if statement', 'tuple']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 'x', ',', 'y', 'k', '=', 'm', '.', 's', 'l', '<', '+', '0', '-', '>', '2', '*', '[', ']', '1', 'b', 'c', ';', 'z', 'd', '#', '{', 'T', 'w', 'h', '}', '\t', '/']","import sys

def solve():
    x, y, k = map(int, input().split())
    if x > y:
        return x
    elif x < y:
        return 2 * y - x - min(x, k)
    else:
        return 0
",False,False,2,1.0,0.0,1.0,0.0
24,1895A,3,"['if statement', 'for loop', 'matrix operation']","['for loop', 'if statement']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 'x', ',', 'y', 'k', '=', 'm', '.', 's', 'l', '<', '+', '0', '-', '>', '2', '*', '[', ']', '1', 'b', 'c', ';', 'z', 'd', '#', '{', 'T', 'w', 'h', '}', '\t', '/']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        x, y, k = map(int, input().split())
        if x > y:
            print(x)
        elif y - x <= k:
            print(y)
        else:
            print(y + (y - x - k))
",True,False,2,1.0,0.0,1.0,0.0
25,1895A,4,"['if statement', 'for loop', 'matrix operation', 'while loop']",['for loop'],"['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 'x', ',', 'y', 'k', '=', 'm', '.', 's', 'l', '<', '+', '0', '-', '>', '2', '*', '[', ']', '1', 'b', 'c', ';', 'z', 'd', '#', '{', 'T', 'w', 'h', '}', '\t', '/']","import sys

def solve():
    x, y, k = map(int, input().split())
    if x > y:
        return x
    elif x == y:
        return 0
    else:
        return min(y - x + min(x, k) * 2, 2 * y - x - k)
",False,False,1,1.0,0.0,1.0,0.0
26,1895A,5,"['if statement', 'for loop', 'matrix operation', 'while loop', 'tuple']","['if statement', 'tuple', 'misc']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 'x', ',', 'y', 'k', '=', 'm', '.', 's', 'l', '<', '+', '0', '-', '>', '2', '*', '[', ']', '1', 'b', 'c', ';', 'z', 'd', '#', '{', 'T', 'w', 'h', '}', '\t', '/']","import sys

def solve():
    x, y, k = map(int, input().split())
    if x > y:
        return x
    if x + k < y:
        return 2 * y - x - 1
    return y
",False,False,3,1.0,0.0,1.0,0.0
27,1894A,0,['this is the og problem'],"['if statement', 'hashmap']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '=', 's', '[', '-', '1', ']', '*', '0', '2', ""'"", '{', '}', 'x', 'l', '+', 'c', 'h', '""', '\t', 'w']","import sys

def solve():
    n = int(input())
    s = input()
    if s.count('A') == n or s.count('B') == n:
        print(s[0])
    elif s.count('A') > s.count('B'):
        print('A')
    elif s.count('A') < s.count('B'):
        print('B')
    else:
        print('?')
",False,True,2,1.0,0.0,1.0,0.0
28,1894A,1,['for loop'],"['if statement', 'for loop']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '=', 's', '[', '-', '1', ']', '*', '0', '2', ""'"", '{', '}', 'x', 'l', '+', 'c', 'h', '""', '\t', 'w']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        s = input()
        if s.count('A') == n or s.count('B') == n:
            print(s[0])
        elif s.count('A') > s.count('B') and 'B' not in s[:s.count('A')]:
            print('A')
        elif s.count('B') > s.count('A') and 'A' not in s[:s.count('B')]:
            print('B')
        else:
            print('?')
",False,False,2,1.0,0.0,1.0,0.0
29,1894A,2,"['for loop', 'if statement']","['for loop', 'if statement', 'misc', 'for loop', 'if statement', 'misc']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '=', 's', '[', '-', '1', ']', '*', '0', '2', ""'"", '{', '}', 'x', 'l', '+', 'c', 'h', '""', '\t', 'w']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        s = input()
        if s.count('A') == n or s.count('B') == n:
            print(s[0])
        elif s.count('A') > s.count('B') and 'B' not in s[:s.count('A')]:
            print('A')
        elif s.count('B') > s.count('A') and 'A' not in s[:s.count('B')]:
            print('B')
        else:
            print('?')
",False,False,3,0.5,0.0,0.5,0.0
30,1894A,3,"['for loop', 'if statement', 'tuple']","['if statement', 'for loop']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '=', 's', '[', '-', '1', ']', '*', '0', '2', ""'"", '{', '}', 'x', 'l', '+', 'c', 'h', '""', '\t', 'w']","import sys

def solve():
    n = int(input())
    s = input()
    a_count = 0
    b_count = 0
    for i in range(n):
        if s[i] == 'A':
            a_count += 1
        else:
            b_count += 1
    if a_count == b_count:
        print('?')
    elif a_count > b_count:
        print('A')
    else:
        print('B')
",False,False,2,1.0,0.0,1.0,0.0
31,1894A,4,"['for loop', 'if statement', 'tuple', 'set']","['if statement', 'for loop']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '=', 's', '[', '-', '1', ']', '*', '0', '2', ""'"", '{', '}', 'x', 'l', '+', 'c', 'h', '""', '\t', 'w']","import sys

def solve():
    n = int(input())
    s = input()
    a_count = 0
    b_count = 0
    for i in range(n):
        if s[i] == 'A':
            a_count += 1
        else:
            b_count += 1
    if a_count > b_count:
        print('A')
    elif a_count < b_count:
        print('B')
    else:
        print('?')
",False,False,2,1.0,0.0,1.0,0.0
32,1891A,0,['this is the og problem'],['for loop'],"['#', 'i', 'n', 'c', 'l', 'u', 'd', 'e', ' ', '<', 'b', 't', 's', '/', '+', '.', 'h', '>', '\r', '\n', 'g', 'a', 'm', 'p', ';', '(', ')', '{', 'w', '-', '[', ']', 'f', 'o', 'r', 'x', '=', '0', '}', '""', 'Y', 'E', 'S', '\\', '1', '&', 'N', 'O', '_', ':', ',', '*', 'k', 'T', '!', 'F', 'j', '3', '\t', '?', ""'"", '2', 'v', '7', '5', '9', '4', '8', '6', 'M', 'I', '%', 'y', 'q']","import math

def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        a = list(map(int, input().split()))
        flag = True
        for i in range(n - 1):
            if a[i] > a[i + 1]:
                m = 0
                while (1 << m) < i + 1:
                    m += 1
                for j in range(i, (1 << m)):
                    a[j] -= 1
                if a[i] > a[i + 1]:
                    flag = False
                    break
        print(""YES"" if flag else ""NO"")
",False,True,1,1.0,0.0,1.0,0.0
33,1891A,1,['if statement'],"['if statement', 'for loop', 'break statement', 'continue statement', 'misc']","['#', 'i', 'n', 'c', 'l', 'u', 'd', 'e', ' ', '<', 'b', 't', 's', '/', '+', '.', 'h', '>', '\r', '\n', 'g', 'a', 'm', 'p', ';', '(', ')', '{', 'w', '-', '[', ']', 'f', 'o', 'r', 'x', '=', '0', '}', '""', 'Y', 'E', 'S', '\\', '1', '&', 'N', 'O', '_', ':', ',', '*', 'k', 'T', '!', 'F', 'j', '3', '\t', '?', ""'"", '2', 'v', '7', '5', '9', '4', '8', '6', 'M', 'I', '%', 'y', 'q']","import sys

def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        a = list(map(int, input().split()))
        for i in range(n):
            for j in range(n - 1):
                if (n - 1 - j) & (n - 1 - i) == 0 and a[j] > a[j + 1]:
                    print(""NO"")
                    break
            else:
                continue
            break
        else:
            print(""YES"")
",False,False,5,1.0,0.0,1.0,0.0
