problem_id,0,1,2,3,4,5
1766A,1.0,1.0,1.0,1.0,1.0,1.0
1767A,1.0,1.0,1.0,1.0,1.0,0.0
1767B,1.0,1.0,1.0,1.0,1.0,0.0
1768A,1.0,1.0,1.0,1.0,1.0,1.0
1772A,1.0,1.0,1.0,1.0,1.0,1.0
1772B,1.0,1.0,1.0,1.0,1.0,0.0
1774A,1.0,1.0,1.0,1.0,1.0,1.0
1775A1,1.0,1.0,1.0,1.0,1.0,0.0
1776A,1.0,1.0,1.0,1.0,1.0,0.0
1777A,1.0,1.0,1.0,1.0,1.0,1.0
1778A,1.0,1.0,1.0,1.0,1.0,1.0
1779A,1.0,1.0,1.0,1.0,0.0,0.0
1780A,1.0,1.0,1.0,1.0,1.0,1.0
1781A,1.0,1.0,1.0,1.0,1.0,1.0
1783A,1.0,1.0,1.0,1.0,1.0,0.0
1786A1,1.0,1.0,1.0,0.5,1.0,0.0
1786A2,1.0,1.0,1.0,0.0,0.0,0.0
1787A,1.0,1.0,1.0,1.0,1.0,1.0
1788A,1.0,1.0,1.0,1.0,1.0,0.0
1789A,1.0,1.0,1.0,1.0,1.0,0.0
1789B,1.0,1.0,1.0,1.0,1.0,0.0
1790A,1.0,1.0,1.0,0.0,1.0,1.0
1790B,1.0,1.0,1.0,1.0,1.0,0.0
1791A,1.0,1.0,1.0,1.0,1.0,1.0
1791B,1.0,1.0,1.0,1.0,1.0,0.0
1791C,1.0,1.0,1.0,1.0,1.0,1.0
1792A,1.0,1.0,0.5,1.0,1.0,0.0
1793A,1.0,0.5714285714285714,1.0,0.5,1.0,0.0
1794A,1.0,1.0,1.0,1.0,1.0,1.0
1795A,1.0,1.0,1.0,1.0,0.0,0.0
1796A,1.0,1.0,1.0,1.0,1.0,0.0
1797A,1.0,1.0,1.0,1.0,1.0,1.0
1798A,1.0,1.0,1.0,1.0,1.0,1.0
1799A,1.0,1.0,1.0,1.0,1.0,1.0
1800A,1.0,1.0,1.0,1.0,1.0,1.0
1802A,1.0,1.0,1.0,1.0,0.0,0.0
1804A,1.0,1.0,1.0,1.0,1.0,1.0
1805A,1.0,1.0,1.0,1.0,1.0,1.0
1805B,1.0,1.0,1.0,0.5,1.0,0.0
1806A,1.0,1.0,1.0,1.0,1.0,0.0
1807A,1.0,1.0,1.0,1.0,1.0,0.0
1807B,1.0,1.0,1.0,1.0,1.0,0.0
1807C,1.0,1.0,1.0,1.0,1.0,0.0
1809A,1.0,1.0,1.0,1.0,1.0,1.0
1810A,1.0,1.0,1.0,1.0,1.0,0.0
1810B,1.0,1.0,1.0,1.0,1.0,0.0
1811A,1.0,1.0,1.0,0.5,1.0,1.0
1814A,1.0,1.0,1.0,1.0,1.0,1.0
1816A,1.0,1.0,1.0,1.0,1.0,0.0
1818A,1.0,0.5714285714285714,1.0,1.0,0.0,0.0
1820A,1.0,1.0,1.0,1.0,1.0,0.0
1821A,1.0,1.0,1.0,1.0,1.0,1.0
1822A,1.0,1.0,1.0,1.0,1.0,0.0
1822B,1.0,1.0,1.0,1.0,1.0,1.0
1822C,1.0,1.0,1.0,1.0,1.0,1.0
1823A,1.0,1.0,1.0,1.0,1.0,1.0
1825A,1.0,1.0,1.0,1.0,1.0,1.0
1828A,1.0,1.0,1.0,1.0,1.0,0.0
1829A,1.0,1.0,1.0,1.0,1.0,0.0
1829B,1.0,1.0,1.0,1.0,1.0,0.0
1829C,1.0,1.0,1.0,1.0,1.0,0.0
1831A,1.0,1.0,1.0,1.0,1.0,1.0
1832A,1.0,1.0,1.0,1.0,1.0,1.0
1833A,1.0,1.0,1.0,1.0,1.0,1.0
1833C,1.0,1.0,1.0,1.0,1.0,1.0
1834A,1.0,1.0,1.0,1.0,1.0,0.0
1836A,1.0,1.0,1.0,1.0,1.0,1.0
1837A,1.0,1.0,1.0,1.0,1.0,0.0
1838A,0.6,1.0,1.0,1.0,1.0,1.0
1839A,1.0,1.0,1.0,1.0,1.0,0.0
1840A,1.0,1.0,0.0,0.0,0.0,0.0
1841A,1.0,1.0,1.0,1.0,0.0,0.0
1842A,1.0,1.0,1.0,1.0,1.0,1.0
1843A,1.0,1.0,1.0,1.0,1.0,1.0
1843B,1.0,1.0,1.0,1.0,1.0,0.0
1843C,1.0,1.0,1.0,1.0,1.0,1.0
1844A,1.0,1.0,1.0,1.0,1.0,1.0
1845A,1.0,1.0,1.0,1.0,0.0,0.0
1846A,1.0,1.0,1.0,1.0,1.0,1.0
1846B,1.0,1.0,1.0,1.0,1.0,1.0
1847A,1.0,1.0,1.0,1.0,1.0,0.0
1849A,1.0,1.0,1.0,1.0,1.0,0.0
1850A,1.0,1.0,1.0,1.0,0.0,0.0
1850B,1.0,1.0,1.0,1.0,1.0,1.0
1850C,1.0,1.0,1.0,1.0,1.0,0.0
1851A,1.0,1.0,1.0,0.5,1.0,0.0
1851B,1.0,1.0,1.0,1.0,1.0,1.0
1853A,1.0,1.0,1.0,1.0,1.0,1.0
1855A,1.0,1.0,1.0,1.0,1.0,1.0
1856A,1.0,1.0,1.0,1.0,1.0,1.0
1857A,1.0,1.0,1.0,1.0,1.0,0.0
1858A,1.0,1.0,1.0,1.0,1.0,0.0
1859A,1.0,1.0,1.0,1.0,1.0,0.0
1861A,1.0,1.0,1.0,1.0,1.0,1.0
1862A,1.0,1.0,1.0,1.0,1.0,0.0
1862B,1.0,1.0,1.0,1.0,1.0,0.0
1863A,1.0,1.0,1.0,1.0,1.0,0.5
1864A,1.0,1.0,1.0,1.0,0.0,0.0
1866A,1.0,1.0,1.0,1.0,1.0,0.0
1867A,1.0,1.0,1.0,1.0,1.0,1.0
1870A,1.0,1.0,1.0,1.0,1.0,1.0
1872A,1.0,1.0,1.0,1.0,1.0,1.0
1873A,1.0,1.0,1.0,1.0,1.0,1.0
1873B,1.0,1.0,1.0,1.0,1.0,1.0
1873C,1.0,1.0,1.0,1.0,1.0,0.0
1873D,1.0,1.0,1.0,0.0,0.0,0.0
1877A,1.0,1.0,1.0,1.0,0.0,0.0
1878A,1.0,1.0,1.0,1.0,1.0,1.0
1878B,1.0,1.0,0.5,1.0,0.0,0.0
1879A,1.0,1.0,1.0,1.0,1.0,1.0
1881A,1.0,1.0,1.0,1.0,1.0,0.0
1882A,1.0,1.0,1.0,1.0,1.0,1.0
1883A,1.0,1.0,1.0,1.0,1.0,1.0
1884A,1.0,1.0,1.0,1.0,1.0,1.0
1886A,1.0,1.0,1.0,1.0,1.0,1.0
1890A,1.0,1.0,1.0,1.0,1.0,1.0
1890B,1.0,1.0,1.0,1.0,1.0,0.0
1891A,1.0,1.0,1.0,1.0,1.0,1.0
1894A,1.0,1.0,0.5,1.0,1.0,0.0
1895A,1.0,1.0,1.0,1.0,1.0,1.0
1895B,1.0,1.0,1.0,1.0,1.0,1.0
1898A,1.0,1.0,1.0,1.0,1.0,1.0
1899A,1.0,1.0,1.0,1.0,1.0,0.0
1901A,1.0,1.0,1.0,1.0,0.0,0.0
